album,artist,bnm,bnr,date,reviewer,score,url
Any Day,The Sea and Cake,0,0,May 12 2018,Stuart Berman,7.5,https://pitchfork.com/reviews/albums/the-sea-and-cake-any-day/
Tunnel of Love;Chimes of Freedom EP;Human Touch;Lucky Town;In Concert/MTV Plugged;The Ghost of Tom Joad;Blood Brothers EP,Bruce Springsteen;Bruce Springsteen;Bruce Springsteen;Bruce Springsteen;Bruce Springsteen;Bruce Springsteen;Bruce Springsteen,0,0,May 19 2018,Sam Sodomsky,"9.5,6.4,5.8,6.8,6.1,7.6,5.4",https://pitchfork.com/reviews/albums/bruce-springsteen-the-album-collection-vol-2-1987-1996/
O,Ssion,0,0,May 14 2018,Cameron Cook,7.7,https://pitchfork.com/reviews/albums/ssion-o/
Marely Barch,Barely March,0,0,May 12 2018,Ian Cohen,7.5,https://pitchfork.com/reviews/albums/barely-march-marely-barch/
Activated,Tee Grizzley,0,0,May 14 2018,Brian Josephs,6.4,https://pitchfork.com/reviews/albums/tee-grizzley-activated/
On Watch,Slow Mass,0,0,May 14 2018,Ian Cohen,7.5,https://pitchfork.com/reviews/albums/slow-mass-on-watch/
Murmurations,Simian Mobile Disco,0,0,May 11 2018,Larry Fitzmaurice,7.5,https://pitchfork.com/reviews/albums/simian-mobile-disco-murmurations/
Beware the Book of Eli,Ski Mask the Slump God,0,0,May 12 2018,Dean Van Nguyen,7.9,https://pitchfork.com/reviews/albums/ski-mask-the-slump-god-beware-the-book-of-eli/
JP3,Junglepussy,0,0,May 11 2018,Jackson Howard,7.5,https://pitchfork.com/reviews/albums/junglepussy-jp3/
7,Beach House,1,0,May 11 2018,Jayson Greene,8.9,https://pitchfork.com/reviews/albums/beach-house-7/
Appreciation,Horse Feathers,0,0,May 9 2018,Max Savage Levenson,7.1,https://pitchfork.com/reviews/albums/horse-feathers-appreciation/
Simi,BlocBoy JB,0,0,May 10 2018,Paul A. Thompson,7.7,https://pitchfork.com/reviews/albums/blocboy-jb-simi/
L.O.D. EP,Desiigner,0,0,May 9 2018,Torii MacAdams,4.6,https://pitchfork.com/reviews/albums/desiigner-lod-ep/
Baylor Swift,Bali Baby,0,0,May 12 2018,Sheldon Pearce,7.4,https://pitchfork.com/reviews/albums/bali-baby-baylor-swift/
Until Death Call My Name,YoungBoy Never Broke Again,0,0,May 9 2018,Sheldon Pearce,6.9,https://pitchfork.com/reviews/albums/youngboy-never-broke-again-until-death-call-my-name/
Downtown Castles Can Never Block the Sun,Ben LaMar Gay,0,0,May 10 2018,Andy Beta,7.9,https://pitchfork.com/reviews/albums/ben-lamar-gay-downtown-castles-can-never-block-the-sun/
Conexão EP,Amber Mark,0,0,May 9 2018,Jamieson Cox,8.0,https://pitchfork.com/reviews/albums/amber-mark-conexao-ep/
Fall in Love EP,Lucas,0,0,May 11 2018,Mehan Jayasuriya,7.0,https://pitchfork.com/reviews/albums/lucas-fall-in-love-ep/
Singularity,Jon Hopkins,1,0,May 10 2018,Brian Howe,8.3,https://pitchfork.com/reviews/albums/jon-hopkins-singularity/
The Horizon Just Laughed,Damien Jurado,0,0,May 10 2018,Grayson Haver Currin,8.0,https://pitchfork.com/reviews/albums/damien-jurado-the-horizon-just-laughed/
DNA Feelings,Aïsha Devi,0,0,May 11 2018,Sasha Geffen,7.4,https://pitchfork.com/reviews/albums/aisha-devi-dna-feelings/
DOVE,Belly,0,0,May 8 2018,Alfred Soto,7.2,https://pitchfork.com/reviews/albums/belly-dove/
Lost Friends,Middle Kids,0,0,May 5 2018,Stuart Berman,6.8,https://pitchfork.com/reviews/albums/middle-kids-lost-friends/
Music for Installations,Brian Eno,0,0,May 7 2018,Jesse Jarnow,8.0,https://pitchfork.com/reviews/albums/brian-eno-music-for-installations/
Beyondless,Iceage,1,0,May 7 2018,Jenn Pelly,8.6,https://pitchfork.com/reviews/albums/iceage-beyondless/
SR3MM;Swaecation;Jxmtro,Rae Sremmurd;Swae Lee;Slim Jxmmi,0,0,May 8 2018,Sheldon Pearce,"8.1,7.4,7.6",https://pitchfork.com/reviews/albums/rae-sremmurd-swae-lee-slim-jxmmi-sr3mm/
The Flowers of Romance,Public Image Ltd,0,0,May 6 2018,Vivien Goldman,9.3,https://pitchfork.com/reviews/albums/public-image-ltd-the-flowers-of-romance/
Knock Knock,DJ Koze,1,0,May 4 2018,Mark Richardson,8.8,https://pitchfork.com/reviews/albums/dj-koze-knock-knock/
Starting Today,Joe Armon-Jones,0,0,May 7 2018,Phillip Mlynar,7.5,https://pitchfork.com/reviews/albums/joe-armon-jones-starting-today/
Mixtape,Jacques Greene,0,0,May 8 2018,Megan Buerger,6.9,https://pitchfork.com/reviews/albums/jacques-greene-mixtape/
Rejuvenate,Paul White,0,0,May 7 2018,Jonah Bromwich,7.9,https://pitchfork.com/reviews/albums/paul-white-rejuvenate/
Venetian Snares x Daniel Lanois,Venetian Snares;Daniel Lanois,0,0,May 5 2018,Andy Beta,6.9,https://pitchfork.com/reviews/albums/venetian-snares-daniel-lanois-venetian-snares-x-daniel-lanois/
Nothing 2 Loose;Mudshadow Propaganda,DJ Healer;Prime Minister of Doom,0,0,May 2 2018,Drew Gaerig,"8.2,8.0",https://pitchfork.com/reviews/albums/dj-healer-prime-minister-of-doom-dj-healer-nothing-2-loose-prime-minister-of-doom-mudshadow-propaganda/
Good Thing,Leon Bridges,0,0,May 8 2018,Olivia Horn ,7.2,https://pitchfork.com/reviews/albums/leon-bridges-good-thing/
The Good Is a Big God,Domenico Lancellotti,0,0,May 5 2018,Marty Sartini Garner,7.5,https://pitchfork.com/reviews/albums/domenico-lancellotti-the-good-is-a-big-god/
Blue Dream EP,Le1f,0,0,May 5 2018,Cameron Cook,6.9,https://pitchfork.com/reviews/albums/le1f-blue-dream-ep/
Sway,Tove Styrke,0,0,May 2 2018,Margaret Farrell,7.5,https://pitchfork.com/reviews/albums/tove-styrke-sway/
Hollow Ground,Cut Worms,0,0,May 3 2018,Nina Corcoran,7.2,https://pitchfork.com/reviews/albums/cut-worms-hollow-ground/
Miro Tape,Duppy Gun,0,0,May 2 2018,Thea Ballard,7.4,https://pitchfork.com/reviews/albums/duppy-gun-miro-tape/
Poo Bear Presents: Bearthday Music,Poo Bear,0,0,May 3 2018,Katherine St. Asaph,4.6,https://pitchfork.com/reviews/albums/poo-bear-poo-bear-presents-bearthday-music/
